Decay (d)	T_eff	L/C amp (mag)
393.453264	3586	0.011556
11.955214	5620	0.001408
145.162975	4264	0.008885
123.907936	4386	0.007359
179.568427	4349	0.015302
148.669183	4361	0.008680
25.503440	4986	0.004529
68.155596	5612	0.008826
37.939941	5811	0.003517
133.453203	5414	0.011266
80.281967	5453	0.007788
1235.344776	4883	0.041053
114.785797	4783	0.010462
99.535229	3877	0.002545
69.892503	5433	0.005192
62.729999	5172	0.008682
90.285675	5072	0.007884
138.169919	4303	0.007883
19.113407	5822	0.000860
119.745482	5141	0.009543
62.423408	3720	0.002694
147.619888	3621	0.003612
131.614689	4959	0.010415
223.402686	3704	0.006211
60.993294	5238	0.017979
107.300152	5382	0.003296
61.845737	5629	0.007237
28.186641	5555	0.003342
48.646757	5525	0.001416
56.999489	5191	0.007988
75.190404	4427	0.006449
176.685292	4342	0.008259
28.551936	5593	0.003323
117.694461	5185	0.006517
32.501741	5682	0.006271
198.826102	5228	0.019253
217.175476	4963	0.014613
87.570798	5341	0.006341
20.515830	4064	0.003618
47.638445	5444	0.005902
192.476966	4435	0.014576
43.812610	3969	0.003160
55.396112	5142	0.005799
103.176842	4386	0.009365
58.012909	5392	0.004604
23.059617	5496	0.006179
18.341052	4932	0.003242
66.171650	5167	0.006967
212.179951	4414	0.016678
43.531671	5577	0.004022
129.569770	4681	0.009812
358.561175	4831	0.010532
26.058968	5666	0.005046
57.713509	5653	0.004277
68.054218	5014	0.004360
16.610078	5878	0.001058
32.850481	5505	0.002553
32.542391	6151	0.001246
8.709806	5878	0.002172
27.620429	5902	0.001441
94.022774	4201	0.003713
36.545844	4950	0.007576
28.868164	4062	0.004187
46.594393	5103	0.001721
16.619999	5679	0.002778
46.115856	6492	0.000737
53.544885	5573	0.003456
108.107864	4872	0.006251
48.769246	5367	0.007592
52.871746	4904	0.003094
87.681760	5341	0.008934
19.561782	5841	0.002435
25.802560	5620	0.002196
32.408874	5806	0.001581
257.817663	4564	0.021094
177.418311	5083	0.022313
91.066341	4297	0.007347
142.540994	4882	0.019991
